"","id","duration","start_station_name","end_station_name","start_station_id","end_station_id","trip_status"
"69",170510,70,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"70",170547,77,"Spear at Folsom","Spear at Folsom",49,49,"cancelled"
"71",171346,115,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"72",171508,119,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"73",171804,84,"Market at 4th","Market at 4th",76,76,"cancelled"
"74",171822,60,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"75",172777,83,"San Jose City Hall","San Jose City Hall",10,10,"cancelled"
"76",172816,127,"Mountain View Caltrain Station","Mountain View Caltrain Station",28,28,"cancelled"
"77",172914,110,"San Francisco City Hall","San Francisco City Hall",58,58,"cancelled"
"78",173120,100,"Market at 4th","Market at 4th",76,76,"cancelled"
"79",173131,72,"South Van Ness at Market","South Van Ness at Market",66,66,"cancelled"
"80",174470,62,"Civic Center BART (7th at Market)","Civic Center BART (7th at Market)",72,72,"cancelled"
"81",175373,64,"San Francisco City Hall","San Francisco City Hall",58,58,"cancelled"
"82",175484,173,"Steuart at Market","Steuart at Market",74,74,"cancelled"
"83",175725,77,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"84",176175,114,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"85",176920,71,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"86",177630,102,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"87",178595,166,"Powell Street BART","Powell Street BART",39,39,"cancelled"
"88",178626,133,"2nd at Folsom","2nd at Folsom",62,62,"cancelled"
"89",178766,70,"2nd at South Park","2nd at South Park",64,64,"cancelled"
"90",178887,61,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"91",178901,152,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"92",179528,130,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"93",182355,72,"Temporary Transbay Terminal (Howard at Beale)","Temporary Transbay Terminal (Howard at Beale)",55,55,"cancelled"
"94",182906,92,"Temporary Transbay Terminal (Howard at Beale)","Temporary Transbay Terminal (Howard at Beale)",55,55,"cancelled"
"95",183794,77,"San Francisco City Hall","San Francisco City Hall",58,58,"cancelled"
"96",184113,103,"Market at 4th","Market at 4th",76,76,"cancelled"
"97",184316,96,"Temporary Transbay Terminal (Howard at Beale)","Temporary Transbay Terminal (Howard at Beale)",55,55,"cancelled"
"98",184703,110,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"99",185232,119,"Davis at Jackson","Davis at Jackson",42,42,"cancelled"
"100",185480,80,"San Pedro Square","San Pedro Square",6,6,"cancelled"
"101",185714,74,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"102",185761,75,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"103",185802,88,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
"104",185899,131,"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",70,70,"cancelled"
"105",186437,89,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"106",186779,142,"Embarcadero at Sansome","Embarcadero at Sansome",60,60,"cancelled"
"107",186884,80,"Market at 4th","Market at 4th",76,76,"cancelled"
"108",186999,98,"Market at 10th","Market at 10th",67,67,"cancelled"
"109",187141,64,"Market at 4th","Market at 4th",76,76,"cancelled"
"110",188209,111,"Yerba Buena Center of the Arts (3rd @ Howard)","Yerba Buena Center of the Arts (3rd @ Howard)",68,68,"cancelled"
"111",188339,160,"Townsend at 7th","Townsend at 7th",65,65,"cancelled"
"112",189973,70,"San Jose Diridon Caltrain Station","San Jose Diridon Caltrain Station",2,2,"cancelled"
"113",190379,114,"Steuart at Market","Steuart at Market",74,74,"cancelled"
"114",191927,157,"San Pedro Square","San Pedro Square",6,6,"cancelled"
"115",192405,88,"Clay at Battery","Clay at Battery",41,41,"cancelled"
"116",192613,166,"San Pedro Square","San Pedro Square",6,6,"cancelled"
"117",192695,67,"University and Emerson","University and Emerson",35,35,"cancelled"
"118",192705,72,"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",50,50,"cancelled"
"119",192774,122,"2nd at Townsend","2nd at Townsend",61,61,"cancelled"
